Semester Year Name,Semester Year Letter Cd Concat,Semester Nm,Ungrad Grad Cd,All Major Acad Hier Level Nm,Reporting Clg School Short Nm,Academic Division Short Nm,Academic Department Short Nm,Student Headcount,Prorated Student Major Cnt Sum,Student Headcount-DEC,Academic Yr
2006 Fall,2006 D,Fall,U,All,Clg of Environmental Design,Clg of Environmental Design,Architecture,601,593,601,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,40,37,40,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,27,27,27,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Administered Programs,L&S Chemistry,18,14.5,18,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,134,111.5,134,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,32,29,32,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,233,199.6666667,233,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Administered Programs,L&S Ops Rsch & Mgmt Sci,24,21,24,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,182,156,182,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,243,220.6666667,243,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Art Practice,173,156.5,173,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,55,49.5,55,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,Comparative Literature,51,47.5,51,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,East Asian Lang & Culture,96,68.16666667,96,2006-07
2006 Fall,2006 D,Fall,U,All,Clg of Letters & Science,L&S Arts & Humanities Division,English,537,493.1666667,537,2006-07
