Academic Yr,DegLvl,DegLvlDesc,All Major Acad Hier Level Nm,Reporting Clg School Short Nm,Academic Division Short Nm,Academic Department Short Nm,Student Headcount,Prorated Student Major Cnt Sum
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Philosophy,55,52
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Rhetoric,72,67.5
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Scandinavian,2,1
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Slavic Languages & Lit,16,14.5
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,South & SE Asian Studies,5,5
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Spanish & Portuguese,30,24.5
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Arts & Humanities Div,Theater Dance & Perf Stds,15,13
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Bio Sciences Div,Integrative Biology,37,33.5
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Bio Sciences Div,Molecular & Cell Biology,337,327
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Bio Sciences Div,Other Bio Sciences Pgms,124,119.5
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Bio Sciences Div,Physical Education,27,24.5
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Astronomy,5,3.5
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Earth & Planetary Science,19,18.5
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Mathematics,186,168.5
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Other Phys Sci Programs,11,11
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Physics,79,71.5
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Math & Phys Sci Div,Statistics,31,27
1986-87,1,Bachelor,All,Clg of Letters & Science,L&S-Social Sciences Div,African American Studies,1,1
